Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demoQA_testSuite,Chrome 99.0.4844.51,,,2022-03-15 14:31:52,2022-03-15 14:33:32,1m - 40.500s,PASSED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.51,,,2022-03-15 14:31:52,2022-03-15 14:32:30,37.394s,PASSED
testing.Page_Start.access(),Chrome 99.0.4844.51,,,2022-03-15 14:31:53,2022-03-15 14:32:09,16.329s,PASSED
testing.Page_Form.click_Form(),Chrome 99.0.4844.51,,,2022-03-15 14:32:09,2022-03-15 14:32:11,1.812s,PASSED
"testing.Page_Form.enterValue(firstName, lastName, email, gender, mobile, year_DOB, month_DOB, subject, hobbies, upload, address, state, city)",Chrome 99.0.4844.51,,,2022-03-15 14:32:11,2022-03-15 14:32:28,17.442s,PASSED
testing.Page_End.end(),Chrome 99.0.4844.51,,,2022-03-15 14:32:28,2022-03-15 14:32:30,1.372s,PASSED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.51,,,2022-03-15 14:32:30,2022-03-15 14:33:00,30.509s,PASSED
testing.Page_Start.access(),Chrome 99.0.4844.51,,,2022-03-15 14:32:30,2022-03-15 14:32:40,10.183s,PASSED
testing.Page_Form.click_Form(),Chrome 99.0.4844.51,,,2022-03-15 14:32:40,2022-03-15 14:32:42,2.099s,PASSED
"testing.Page_Form.enterValue(firstName, lastName, email, gender, mobile, year_DOB, month_DOB, subject, hobbies, upload, address, state, city)",Chrome 99.0.4844.51,,,2022-03-15 14:32:42,2022-03-15 14:32:59,16.865s,PASSED
testing.Page_End.end(),Chrome 99.0.4844.51,,,2022-03-15 14:32:59,2022-03-15 14:33:00,1.354s,PASSED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.51,,,2022-03-15 14:33:00,2022-03-15 14:33:32,31.685s,PASSED
testing.Page_Start.access(),Chrome 99.0.4844.51,,,2022-03-15 14:33:01,2022-03-15 14:33:13,12.461s,PASSED
testing.Page_Form.click_Form(),Chrome 99.0.4844.51,,,2022-03-15 14:33:13,2022-03-15 14:33:15,1.572s,PASSED
"testing.Page_Form.enterValue(firstName, lastName, email, gender, mobile, year_DOB, month_DOB, subject, hobbies, upload, address, state, city)",Chrome 99.0.4844.51,,,2022-03-15 14:33:15,2022-03-15 14:33:31,16.380s,PASSED
testing.Page_End.end(),Chrome 99.0.4844.51,,,2022-03-15 14:33:31,2022-03-15 14:33:32,1.264s,PASSED
